408870,140448
515409,149993
717962,242120
326998,495388
628850,940503
466175,657523
739422,593188
859843,999741
541180,184471
260871,862557
499114,706552
13508,148018
208122,909994
307542,427467
820232,886018
1042299,265255
976527,358682
1005996,16520
716533,681661
237405,296186
910373,69349
693138,332084
435933,643281
428285,167544
326685,792554
55589,823697
201942,458686
211079,852284
204400,835871
565596,874242
997528,957927
939394,745058
423660,557887
828022,181866
1043546,803113
666496,583699
571040,656643
736025,537730
814652,65538
1044578,439590
677405,151059
146647,985282
817865,528778
591039,767976
79409,151486
853673,670989
596046,896833
681759,300075
661682,609453
922122,964657
624261,13285
460445,558268
392961,44193
182611,894300
301652,767586
693664,291944
298976,413030
569837,265905
270631,861197
389429,119457
211519,747024
370946,107794
244626,729397
533951,757755
908956,1021364
140625,1033031
455387,572223
757135,594558
89240,899752
271540,614037
729349,15194
358922,316948
161380,701302
761871,834298
595713,208123
543743,708881
790432,863910
398386,548120
16547,1044278
250824,629007
450896,602741
385629,907265
88578,322586
411089,567341
675973,657815
261890,964850
105940,382254
66621,394968
141662,116279
956770,128820
567414,526380
1045030,393791
1020921,954426
400034,717353
728883,33569
522548,31628
306430,751615
724748,404414
687994,496397
122399,49163
